"","S1.T1","S1.T2","S1.T3","S1.T4","S1.T5","S1.T6","S1.T7","S1.T8","S1.T9","S2.T1","S2.T2","S2.T3","S2.T4","S2.T5","S2.T6","S2.T7","S2.T8","S2.T9","S3.T1","S3.T2","S3.T3","S3.T4","S3.T5","S3.T6","S3.T7","S3.T8","S3.T9","S4.T1","S4.T2","S4.T3","S4.T4","S4.T5","S4.T6","S4.T7","S4.T8","S4.T9"
"Necora puber",0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asterias rubens",467,695,544,308,382,45,2,1,2,559,592,536,355,306,27,2,1,1,591,683,597,470,365,49,7,5,7,450,493,427,299,369,34,4,6,0
"Crepidula fornicata",3,4,2,2,8,0,0,0,0,2,7,4,3,1,0,0,0,0,2,3,2,4,6,0,0,0,0,1,0,1,1,3,0,0,0,0
"Amphipholis squamata",2,0,7,0,2,0,0,0,0,0,5,4,2,0,0,0,0,0,3,4,1,3,0,0,0,0,0,3,4,1,3,6,0,0,0,0
"Styela clava",0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Botrylloides violaceus",2,0,3,0,0,0,0,0,0,7,7,3,1,0,0,0,0,0,2,0,4,2,12,0,0,0,0,2,3,4,1,0,0,0,0,0
"Botryllus schlosseri",0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halichondria panicea",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,2,0,0,0,0
"Ostrea",130,193,190,61,65,8,1,1,0,250,168,145,100,47,6,3,0,1,223,204,194,138,81,24,3,0,1,104,143,113,75,69,4,0,0,2
"Ciona",10,0,14,6,4,2,0,0,0,2,9,11,10,0,1,0,0,0,0,11,24,14,10,0,0,0,0,11,9,4,5,6,0,0,0,0
"Diplosoma",11,2,8,4,0,0,0,0,0,10,0,6,3,3,0,0,0,0,6,0,1,1,7,0,0,0,0,4,9,12,1,3,0,0,0,0
"Monocorophium",1,3,4,2,4,0,0,0,0,29,3,6,7,2,0,0,0,0,9,17,5,0,0,0,0,0,0,5,7,6,0,1,0,0,0,0
