"","reads.in","reads.out"
"1.T0.R1.stripped.fastq.gz",399722,268302
"1.T1.R1.stripped.fastq.gz",296864,186551
"1.T2.R1.stripped.fastq.gz",77419,49605
"1.T3.R1.stripped.fastq.gz",227735,143708
"1.T4.R1.stripped.fastq.gz",291964,194110
"1.T5.R1.stripped.fastq.gz",249368,158547
"1.T6.R1.stripped.fastq.gz",235005,183512
"1.T7.R1.stripped.fastq.gz",311144,261337
"1.T8.R1.stripped.fastq.gz",241067,199887
"1.T9.R1.stripped.fastq.gz",235060,187236
"2.T0.R1.stripped.fastq.gz",317391,198583
"2.T1.R1.stripped.fastq.gz",242672,159314
"2.T2.R1.stripped.fastq.gz",103911,64328
"2.T3.R1.stripped.fastq.gz",229573,131118
"2.T4.R1.stripped.fastq.gz",229562,148547
"2.T5.R1.stripped.fastq.gz",248014,155901
"2.T6.R1.stripped.fastq.gz",232817,180044
"2.T7.R1.stripped.fastq.gz",245238,206031
"2.T8.R1.stripped.fastq.gz",189008,156260
"2.T9.R1.stripped.fastq.gz",213818,165601
"3.T0.R1.stripped.fastq.gz",269422,173053
"3.T1.R1.stripped.fastq.gz",208998,131029
"3.T2.R1.stripped.fastq.gz",61106,37443
"3.T3.R1.stripped.fastq.gz",232752,143470
"3.T4.R1.stripped.fastq.gz",222537,148149
"3.T5.R1.stripped.fastq.gz",267038,177044
"3.T6.R1.stripped.fastq.gz",267860,214489
"3.T7.R1.stripped.fastq.gz",214024,177372
"3.T8.R1.stripped.fastq.gz",221012,182045
"3.T9.R1.stripped.fastq.gz",306259,250888
"4.T0.R1.stripped.fastq.gz",247209,161411
"4.T1.R1.stripped.fastq.gz",245688,157055
"4.T2.R1.stripped.fastq.gz",181778,111655
"4.T3.R1.stripped.fastq.gz",219016,136068
"4.T4.R1.stripped.fastq.gz",268778,178516
"4.T5.R1.stripped.fastq.gz",291974,185946
"4.T6.R1.stripped.fastq.gz",248900,197172
"4.T7.R1.stripped.fastq.gz",226629,188790
"4.T8.R1.stripped.fastq.gz",231308,184869
"4.T9.R1.stripped.fastq.gz",285745,237308
"5.T0.R1.stripped.fastq.gz",389240,256958
"5.T1.R1.stripped.fastq.gz",293832,213464
"5.T2.R1.stripped.fastq.gz",217503,146498
"5.T3.R1.stripped.fastq.gz",259301,182530
"5.T4.R1.stripped.fastq.gz",268166,193308
"5.T5.R1.stripped.fastq.gz",238895,175094
"5.T6.R1.stripped.fastq.gz",280751,221079
"5.T7.R1.stripped.fastq.gz",216838,168185
"5.T8.R1.stripped.fastq.gz",245703,180529
"5.T9.R1.stripped.fastq.gz",339735,251254
"6.T0.R1.stripped.fastq.gz",317148,218881
"6.T1.R1.stripped.fastq.gz",270936,188036
"6.T2.R1.stripped.fastq.gz",1645732,1159182
"6.T3.R1.stripped.fastq.gz",212275,148826
"6.T4.R1.stripped.fastq.gz",270021,191410
"6.T5.R1.stripped.fastq.gz",223532,159242
"6.T6.R1.stripped.fastq.gz",257201,202060
"6.T7.R1.stripped.fastq.gz",177118,144788
"6.T8.R1.stripped.fastq.gz",251990,192767
"6.T9.R1.stripped.fastq.gz",226719,168123
"7.T0.R1.stripped.fastq.gz",53027,38458
"7.T1.R1.stripped.fastq.gz",1492844,1051739
"7.T2.R1.stripped.fastq.gz",355304,252819
"7.T3.R1.stripped.fastq.gz",227120,159341
"7.T4.R1.stripped.fastq.gz",336871,230098
"7.T5.R1.stripped.fastq.gz",257275,183999
"7.T6.R1.stripped.fastq.gz",190692,151469
"7.T7.R1.stripped.fastq.gz",230227,173796
"7.T8.R1.stripped.fastq.gz",251186,181785
"7.T9.R1.stripped.fastq.gz",322587,238506
"8.T0.R1.stripped.fastq.gz",438864,211243
"8.T1.R1.stripped.fastq.gz",233965,171529
"8.T2.R1.stripped.fastq.gz",394398,278745
"8.T4.R1.stripped.fastq.gz",271551,195897
"8.T5.R1.stripped.fastq.gz",338729,244947
"8.T6.R1.stripped.fastq.gz",362664,287990
"8.T7.R1.stripped.fastq.gz",261008,194932
"8.T8.R1.stripped.fastq.gz",327961,238774
"8.T9.R1.stripped.fastq.gz",316910,226143
"C1.R1.stripped.fastq.gz",13420,9594
"C10.R1.stripped.fastq.gz",284174,148784
"C11.R1.stripped.fastq.gz",20,11
"C12.R1.stripped.fastq.gz",13,10
"C13.R1.stripped.fastq.gz",128880,75255
"C14.R1.stripped.fastq.gz",1,0
"C15.R1.stripped.fastq.gz",1,0
"C16.R1.stripped.fastq.gz",15,0
"C2.R1.stripped.fastq.gz",12447,9263
"C3.R1.stripped.fastq.gz",14651,10549
"C4.R1.stripped.fastq.gz",5179,3566
"C5.R1.stripped.fastq.gz",256887,189233
"C6.R1.stripped.fastq.gz",268587,205220
"C7.R1.stripped.fastq.gz",301828,227735
"C8.R1.stripped.fastq.gz",178166,134508
"C9.R1.stripped.fastq.gz",243907,175942
"EMPTY.R1.stripped.fastq.gz",3,0
